Vds,Ids (Vg=5.0V),Ids (Vg=7.0V),Ids (Vg=9.0V),Ids (Vg=12.9V),Ids (Vg=14.9V)
1.1658363184079603,,,,,9.172469651741292
1.177776119402985,,,6.66500696517413,,
1.1830169154228856,,3.900831343283582,,,
1.1886675,0.14699945,,,,
1.2090885572139305,,,,,10.643485572139303
1.223549751243781,,,7.557550746268657,,
1.231044278606965,,4.2427890547263685,,,
1.2466990049751243,0.1366492786069651,,,,
1.2542626865671642,,,,,11.917094527363185
1.271174129353234,,,8.461693532338309,,
1.2780064676616916,,4.47231393034826,,,
1.2899865,0.123666145,,,,
1.299095024875622,,,,,13.315049751243782
1.3156850746268656,,,9.40033383084577,,
1.321592039800995,,4.663680099502487,,,
1.3373791044776122,0.1452732736318407,,,,
1.3436796019900497,,,,,14.849089552238803
1.3651766169154227,,,10.161532338308456,,
1.3768497512437812,,4.847430845771144,,,
1.3917074626865673,0.1456049303482587,,,,
1.3977437810945277,,,,,16.286880597014925
1.4164522388059702,,,11.152497512437812,,
1.4278059701492538,,5.144600995024876,,,
1.4356975124378109,,,,,17.920402985074627
1.4366243781094528,0.1538966616915422,,,,
1.4539995024875618,,,11.961507462686567,,
1.469586567164179,,5.099159701492537,,,
1.4842472636815922,,,,,19.32002487562189
1.489549751243781,0.146599855721393,,,,
1.512897014925373,,,12.817875621890549,,
1.5284223880597014,,5.142942786069651,,,
1.5298159203980095,,,,,20.912089552238804
1.5413587064676617,0.1465998009950248,,,,
1.551774626865672,,,13.632805970149253,,
1.575049253731343,,,,,22.51400497512438
1.5760388059701491,,5.1751164179104485,,,
1.5853388059701492,0.1283576467661691,,,,
1.5974119402985074,,,14.546950248756218,,
1.615657711442786,,,,,24.159194029850745
1.6232134328358208,,5.232164179104477,,,
1.6389402985074628,0.1449413333333333,,,,
1.6451726368159203,,,15.356905472636818,,
1.6653402985074628,,,,,25.840810945273635
1.678274626865672,,5.17412288557214,,,
1.6909482587064677,,,15.90278606965174,,
1.6943980099502491,0.144277895522388,,,,
1.7135776119402986,,,,,27.417905472636814
1.721201990049751,,5.209279104477612,,,
1.7360552238805969,0.1283577462686567,,,,
1.7442825870646763,,,16.92941791044776,,
1.7452746268656718,,,,,29.01155721393035
1.7710731343283586,,5.216580099502488,,,
1.7890005000000002,0.13999965,,,,
1.7921736318407964,,,17.69252736318408,,
1.804313432835821,,,,,30.59205472636816
1.823012935323383,,5.3210592039801,,,
1.8348685,0.1323327749999999,,,,
1.848031343283582,,,18.49715422885572,,
1.8518721393034827,,,,,32.36491542288557
1.8671298507462688,,5.355221890547265,,,
1.8849074626865672,0.13300107960199,,,,
