Tempo (s),Tensao (V)
0.0021400000000000004,0.991875
0.00215,0.99125
0.0021600000000000005,0.99125
0.00217,0.99145833
0.0021800000000000005,0.99145833
0.00219,0.99166667
0.0022000000000000006,0.99104167
0.00221,0.990625
0.0022200000000000006,0.990625
0.00223,0.99083333
0.0022400000000000007,0.99083333
0.0022500000000000003,0.99041667
0.0022600000000000007,0.99020833
0.0022700000000000003,0.98979167
0.0022800000000000008,0.990625
0.0022900000000000004,0.99083333
0.0023,0.990625
0.0023100000000000004,0.99041667
0.00232,0.99041667
0.0023300000000000005,0.99083333
0.00234,0.99125
0.0023500000000000005,0.99125
0.00236,0.99145833
0.0023700000000000006,0.99125
0.00238,0.99166667
0.0023900000000000006,0.991875
0.0024000000000000002,0.991875
0.0024100000000000007,0.99083333
0.0024200000000000003,0.991875
0.0024300000000000007,0.98854167
0.0024400000000000003,0.995
0.002450000000000001,0.98354167
0.0024600000000000004,1.003125
0.00247,0.96833333
0.0024800000000000004,1.0354167
0.00249,0.66395833
0.0025000000000000005,0.0060416667
0.00251,0.015625
0.0025200000000000005,-0.006875
0.00253,0.0070833333
0.0025400000000000006,-0.001875
0.00255,0.003125
0.0025600000000000006,0.00041666667
0.0025700000000000002,0.00125
0.0025800000000000007,0.00041666667
0.0025900000000000003,0.00041666667
0.0026000000000000007,0.000625
0.0026100000000000003,0.000625
0.002620000000000001,0.00041666667
0.0026300000000000004,0.00020833333
0.00264,0.0
0.0026500000000000004,0.000625
0.00266,0.00083333333
0.0026700000000000005,0.00041666667
0.00268,0.00020833333
0.0026900000000000006,0.0
0.0027,0.00041666667
0.0027100000000000006,0.000625
0.00272,0.000625
0.0027300000000000007,0.00020833333
0.0027400000000000002,0.0
0.0027500000000000007,0.0
0.0027600000000000003,0.0
0.0027700000000000008,1.0
0.0027800000000000004,4.0
0.002790000000000001,2.0
0.0028000000000000004,2.0
